id_estudante,genero,horas_estudo,percentual_frequencia,horas_sono,escolaridade_pais,acesso_internet,atividades_extracurriculares,trabalho_meio_periodo,nota_anterior,pontuacao_prova_final,nota_final
54,Feminino,3.4,92.3,4.9,Mestrado,Sim,Não,Não,51.5,85.3,B
55,Masculino,4.1,91.6,8.9,Bacharelado,Não,Sim,Não,89.1,99.8,A
56,Feminino,3.5,96.7,8.5,Bacharelado,Sim,Sim,Sim,71.2,84.3,B
57,Feminino,0.5,86.8,5.2,Mestrado,Sim,Sim,Não,87.2,71.5,C
58,Masculino,3.4,72.0,7.6,Bacharelado,Sim,Não,Não,66.9,84.3,B
59,Masculino,1.5,89.0,6.2,Mestrado,Sim,Não,Não,59.4,74.5,C
60,Masculino,4.5,78.5,7.1,Bacharelado,Sim,Não,Não,73.2,89.5,B
61,Masculino,4.0,79.7,7.2,Mestrado,Sim,Sim,Não,67.4,80.4,B
62,Masculino,2.1,90.9,6.5,Bacharelado,Não,Sim,Sim,55.9,71.1,C
63,Masculino,2.7,97.4,5.9,Bacharelado,Sim,Sim,Não,87.6,87.8,B
64,Masculino,1.9,85.2,6.0,,Sim,Não,Não,62.5,73.0,C
65,Masculino,3.4,88.1,5.7,Bacharelado,Sim,Não,Sim,47.9,80.8,B
66,Feminino,4.9,100.0,5.8,Bacharelado,Sim,Não,Não,85.9,97.4,A
67,Feminino,2.0,87.4,6.7,Ensino Médio,Sim,Sim,Não,63.9,67.8,D
68,Masculino,4.3,100.0,5.9,Bacharelado,Não,Sim,Não,62.7,79.2,C
69,Feminino,2.7,90.7,7.6,Bacharelado,Não,Não,Sim,48.8,73.5,C
70,Feminino,2.3,67.4,8.6,Ensino Médio,Sim,Não,Não,90.9,85.1,B
71,Feminino,3.3,92.5,6.1,Ensino Médio,Sim,Sim,Não,54.5,79.6,C
72,Feminino,1.9,88.8,7.1,Bacharelado,Sim,Sim,Não,70.7,77.4,C
73,Masculino,2.7,97.9,7.4,Mestrado,Sim,Sim,Não,81.0,94.6,A
74,Feminino,1.7,91.7,7.4,Bacharelado,Sim,Sim,Não,75.1,77.6,C
75,Masculino,6.4,83.6,6.9,Ensino Médio,Sim,Sim,Não,69.3,99.9,A
76,Feminino,3.6,72.8,7.7,Mestrado,Não,Não,Não,49.6,64.4,D
77,Feminino,2.5,82.9,7.4,Ensino Médio,Sim,Sim,Não,60.3,71.9,C
78,Feminino,3.8,76.5,5.3,Bacharelado,Sim,Sim,Não,72.3,79.3,C
79,Masculino,3.3,79.2,7.8,Ensino Médio,Sim,Sim,Sim,60.6,74.9,C
80,Feminino,3.2,90.9,7.9,Ensino Médio,Sim,Não,Não,72.4,87.4,B
81,Masculino,4.4,100.0,5.9,Ensino Médio,Sim,Não,Não,78.2,97.6,A
82,Feminino,4.6,88.9,6.8,Bacharelado,Sim,Sim,Não,81.6,74.5,C
83,Masculino,2.7,73.0,7.6,Ensino Médio,Sim,Não,Sim,55.3,64.1,D
84,Feminino,2.6,89.4,6.5,Bacharelado,Sim,Não,Não,96.4,90.0,A
85,Masculino,3.1,97.0,8.1,Bacharelado,Sim,Sim,Sim,79.2,99.3,A
86,Masculino,0.5,78.9,9.6,Bacharelado,Sim,Sim,Sim,70.0,63.9,D
87,Feminino,1.2,83.7,5.9,Bacharelado,Sim,Não,Não,83.1,79.0,C
88,Masculino,5.6,85.1,5.1,Mestrado,Sim,Não,Não,98.4,100.0,A
89,Feminino,6.0,77.2,7.2,Ensino Médio,Sim,Não,Não,52.7,78.9,C
90,Feminino,3.1,91.5,7.7,Bacharelado,Sim,Não,Sim,67.3,84.5,B
91,Feminino,4.4,83.8,6.5,Ensino Médio,Sim,Não,Não,41.5,71.7,C
92,Feminino,4.0,89.2,8.5,Ensino Médio,Sim,Sim,Sim,72.3,86.3,B
93,Feminino,8.1,76.1,5.2,Bacharelado,Sim,Sim,Não,74.4,98.3,A
94,Feminino,5.2,80.6,7.6,Bacharelado,Sim,Sim,Não,69.5,88.1,B
95,Feminino,3.3,92.2,6.1,Doutorado,Sim,Sim,Não,62.1,99.6,A
96,Feminino,2.1,81.3,8.9,Bacharelado,Sim,Não,Não,45.4,74.8,C
97,Feminino,1.1,100.0,9.2,,Sim,Não,Sim,74.5,87.4,B
98,Feminino,3.8,81.0,5.9,Ensino Médio,Não,Não,Não,87.5,88.5,B
99,Feminino,2.4,87.2,6.1,Ensino Médio,Sim,Sim,Sim,62.9,65.2,D
100,Masculino,1.4,94.3,7.8,Ensino Médio,Não,Não,Não,75.3,79.2,C
101,Masculino,2.5,70.8,6.3,Ensino Médio,Sim,Sim,Não,51.2,74.5,C
102,Feminino,1.9,67.4,6.7,Bacharelado,Sim,Sim,Sim,75.5,66.3,D
103,Feminino,6.0,69.7,6.8,Bacharelado,Não,Não,Não,65.3,89.5,B
104,Feminino,4.8,97.6,4.5,Ensino Médio,Sim,Não,Não,60.9,92.7,A
105,Feminino,3.5,79.5,6.8,,Sim,Não,Sim,60.9,87.2,B
106,Feminino,5.7,100.0,6.0,Mestrado,Sim,Sim,Sim,65.3,92.5,A
107,Feminino,3.6,79.4,6.2,Ensino Médio,Sim,Sim,Sim,74.6,75.7,C
108,Feminino,2.2,86.8,8.5,Ensino Médio,Sim,Sim,Não,54.3,74.0,C
109,Feminino,5.8,100.0,5.3,Ensino Médio,Sim,Sim,Não,65.2,100.0,A
110,Masculino,4.3,100.0,7.8,Ensino Médio,Não,Não,Sim,69.5,75.5,C
111,Feminino,1.9,100.0,6.5,Ensino Médio,Sim,Não,Sim,56.8,61.7,D
112,Masculino,3.2,97.1,6.5,Bacharelado,Não,Não,Não,91.6,91.4,A
113,Feminino,2.2,95.2,7.7,Ensino Médio,Não,Sim,Não,59.8,72.7,C
114,Feminino,1.4,90.9,7.2,Bacharelado,Sim,Não,Não,62.0,74.6,C
115,Masculino,4.9,92.8,7.5,,Sim,Sim,Não,58.3,96.5,A
116,Feminino,6.4,79.5,8.0,Mestrado,Não,Não,Sim,91.6,94.5,A
117,Masculino,1.4,76.8,6.4,,Não,Sim,Não,76.6,59.3,F
118,Feminino,4.3,85.0,6.1,Ensino Médio,Sim,Sim,Não,58.8,96.2,A
119,Feminino,2.5,83.3,5.5,Bacharelado,Sim,Sim,Sim,83.3,75.3,C
120,Masculino,2.8,80.5,5.8,Bacharelado,Sim,Não,Não,72.4,73.3,C
121,Feminino,2.6,92.0,10.0,Ensino Médio,Sim,Sim,Não,73.1,95.8,A
122,Masculino,2.2,94.6,8.3,Ensino Médio,Sim,Sim,Não,65.9,81.0,B
123,Feminino,3.6,85.9,5.2,Mestrado,Sim,Não,Sim,61.0,76.5,C
124,Masculino,2.3,99.8,5.2,Bacharelado,Sim,Sim,Não,74.1,88.1,B
125,Masculino,3.9,73.6,7.4,Bacharelado,Sim,Sim,Não,63.5,88.1,B
126,Feminino,3.4,83.1,7.5,Bacharelado,Sim,Sim,Não,91.8,92.1,A
127,Feminino,3.1,77.8,7.5,Bacharelado,Sim,Sim,Não,54.8,85.2,B
128,Masculino,2.1,66.3,6.5,Ensino Médio,Sim,Não,Sim,88.4,63.0,D
129,Feminino,2.6,84.2,6.6,Ensino Médio,Sim,Não,Sim,68.7,81.1,B
130,Feminino,4.6,83.8,7.2,Ensino Médio,Sim,Sim,Não,73.6,87.1,B
131,Feminino,4.3,100.0,6.9,Ensino Médio,Sim,Não,Sim,80.0,100.0,A
132,Masculino,2.0,91.3,4.1,,Sim,Sim,Não,62.4,75.7,C
133,Masculino,3.6,74.8,6.5,Bacharelado,Não,Sim,Não,80.4,77.3,C
134,Masculino,4.6,100.0,5.8,Mestrado,Sim,Sim,Não,37.5,85.6,B
135,Masculino,1.0,97.2,7.0,Ensino Médio,Sim,Sim,Não,61.4,80.8,B
136,Masculino,4.3,90.8,10.0,Bacharelado,Sim,Sim,Não,58.9,94.5,A
137,Masculino,2.5,82.7,7.2,Ensino Médio,Não,Não,Sim,55.0,59.7,F
138,Masculino,4.4,75.4,6.4,Ensino Médio,Sim,Não,Não,67.4,80.9,B
139,Masculino,2.4,81.3,7.9,Ensino Médio,Sim,Sim,Não,74.6,82.6,B
140,Masculino,0.8,95.9,7.4,Mestrado,Sim,Não,Não,78.4,80.2,B
141,Feminino,1.1,100.0,7.3,Mestrado,Sim,Não,Sim,72.9,82.4,B
142,Masculino,3.6,100.0,7.5,Bacharelado,Sim,Não,Não,62.0,75.9,C
143,Feminino,3.9,80.1,9.3,Bacharelado,Sim,Não,Sim,74.4,88.5,B
144,Feminino,2.1,73.8,5.4,,Sim,Sim,Sim,71.5,69.6,D
145,Feminino,4.5,86.4,7.4,Ensino Médio,Sim,Não,Sim,81.2,86.8,B
146,Masculino,1.0,67.3,5.7,Ensino Médio,Sim,Não,Não,79.3,65.2,D
147,Masculino,3.4,88.2,7.5,Ensino Médio,Sim,Não,Sim,70.4,82.0,B
148,Masculino,1.7,83.5,5.7,Mestrado,Sim,Sim,Sim,59.2,46.8,F
149,Masculino,2.5,80.3,6.3,,Sim,Sim,Sim,62.2,68.6,D
150,Feminino,3.6,69.1,6.4,Ensino Médio,Sim,Sim,Sim,63.4,69.2,D
151,Masculino,2.2,90.1,8.0,Doutorado,Sim,Sim,Não,66.2,84.7,B
152,Masculino,2.9,79.7,7.9,Mestrado,Sim,Sim,Sim,73.2,75.9,C
153,Masculino,5.0,73.3,5.3,Ensino Médio,Sim,Não,Sim,78.6,84.7,B
154,Masculino,2.6,56.3,6.9,Bacharelado,Não,Sim,Não,69.4,75.7,C
155,Masculino,4.8,84.7,5.9,Bacharelado,Sim,Não,Não,70.2,95.4,A
156,Feminino,1.8,100.0,5.3,,Sim,Sim,Não,71.7,87.6,B
157,Masculino,4.3,100.0,6.5,Ensino Médio,Sim,Não,Não,63.8,87.7,B
158,Feminino,5.7,80.4,6.4,Mestrado,Sim,Sim,Sim,58.9,89.3,B
159,Masculino,0.5,79.0,9.7,Ensino Médio,Sim,Sim,Não,48.9,63.7,D
160,Feminino,2.3,89.7,7.3,Mestrado,Sim,Não,Sim,61.7,74.0,C
161,Masculino,4.4,75.0,5.1,Bacharelado,Sim,Não,Não,75.7,87.9,B
162,Masculino,3.2,88.0,6.1,Bacharelado,Sim,Não,Não,61.6,76.6,C
163,Feminino,4.1,92.7,8.0,Mestrado,Sim,Sim,Sim,67.1,97.3,A
164,Feminino,2.6,97.3,9.3,Mestrado,Sim,Sim,Não,75.6,90.2,A
165,Feminino,3.6,84.0,4.9,Doutorado,Sim,Não,Não,76.2,88.7,B
166,Masculino,3.3,83.0,4.5,Ensino Médio,Sim,Sim,Não,57.0,84.8,B
167,Feminino,5.3,76.2,9.0,Mestrado,Sim,Não,Não,82.0,100.0,A
168,Masculino,3.9,76.7,7.3,Ensino Médio,Sim,Sim,Não,83.5,82.1,B
169,Masculino,4.0,82.7,5.8,Bacharelado,Não,Sim,Sim,56.4,75.1,C
170,Feminino,2.9,88.7,7.4,Bacharelado,Não,Sim,Sim,60.1,78.1,C
171,Feminino,2.8,94.1,3.6,Bacharelado,Sim,Sim,Não,84.3,92.9,A
172,Masculino,2.9,77.0,6.8,Bacharelado,Sim,Não,Não,68.2,71.8,C
173,Masculino,4.1,99.9,7.2,,Sim,Não,Não,43.4,78.5,C
174,Feminino,2.9,82.3,7.9,Ensino Médio,Sim,Sim,Não,53.2,82.6,B
175,Feminino,3.9,84.8,5.6,Mestrado,Sim,Não,Não,67.0,79.2,C
176,Feminino,6.6,77.5,6.9,Bacharelado,Sim,Sim,Não,56.0,89.7,B
177,Masculino,4.8,60.8,5.7,Ensino Médio,Sim,Sim,Não,65.0,89.2,B
178,Masculino,3.0,93.8,7.1,Ensino Médio,Não,Sim,Não,70.4,81.7,B
179,Masculino,5.3,92.4,5.7,,Sim,Não,Não,87.5,96.7,A
180,Masculino,2.9,82.2,6.3,Doutorado,Sim,Não,Não,66.5,73.7,C
181,Masculino,0.5,85.7,5.6,,Sim,Não,Não,82.9,77.1,C
182,Masculino,2.0,90.2,7.6,,Sim,Não,Sim,87.1,76.5,C
183,Feminino,0.7,69.4,7.8,Ensino Médio,Sim,Não,Não,87.2,73.2,C
184,Masculino,3.0,79.7,6.5,Bacharelado,Sim,Não,Não,73.4,83.6,B
185,Masculino,3.5,92.9,6.8,Mestrado,Sim,Não,Não,46.4,85.8,B
186,Masculino,6.0,72.5,5.1,Bacharelado,Sim,Não,Não,75.5,95.7,A
187,Feminino,4.0,87.9,6.4,Bacharelado,Sim,Sim,Não,82.6,89.2,B
188,Masculino,3.2,71.4,6.7,Bacharelado,Sim,Sim,Sim,69.0,83.1,B
189,Masculino,4.7,89.7,9.9,Bacharelado,Sim,Sim,Não,90.9,100.0,A
190,Feminino,0.5,84.6,5.5,Bacharelado,Sim,Sim,Não,80.3,67.2,D
191,Masculino,3.9,68.8,8.6,Ensino Médio,Sim,Não,Não,76.8,84.6,B
192,Masculino,4.7,96.6,8.0,Bacharelado,Sim,Sim,Sim,83.0,100.0,A
193,Masculino,1.3,77.7,7.1,Bacharelado,Sim,Não,Não,74.0,75.2,C
194,Masculino,5.2,76.9,8.9,Bacharelado,Sim,Sim,Não,40.1,81.1,B
195,Masculino,4.0,87.0,7.2,Ensino Médio,Sim,Sim,Não,64.0,96.5,A
196,Feminino,2.9,96.5,7.3,Mestrado,Não,Sim,Não,84.4,79.8,C
197,Feminino,4.4,74.8,6.7,Ensino Médio,Sim,Não,Não,60.3,73.4,C
198,Feminino,6.9,85.6,8.3,Bacharelado,Sim,Sim,Não,67.3,92.2,A
199,Masculino,3.8,89.3,8.1,Mestrado,Sim,Sim,Não,57.5,87.3,B
200,Masculino,3.9,91.9,6.0,Bacharelado,Não,Não,Não,91.4,92.5,A
201,Masculino,2.8,86.8,5.2,Ensino Médio,Sim,Não,Sim,90.2,94.6,A
202,Feminino,2.2,81.3,6.6,Mestrado,Sim,Sim,Não,59.4,75.5,C
203,Masculino,4.7,76.7,5.8,Bacharelado,Sim,Sim,Não,71.8,85.3,B
204,Masculino,2.2,85.9,6.7,Mestrado,Sim,Sim,Não,61.8,76.7,C
205,Feminino,3.6,74.3,8.3,Mestrado,Sim,Não,Não,77.4,86.8,B
206,Masculino,2.8,55.8,6.3,Bacharelado,Sim,Sim,Sim,76.1,61.1,D
207,Feminino,4.2,89.4,6.7,Bacharelado,Sim,Sim,Sim,79.7,100.0,A
208,Feminino,4.0,94.0,6.9,Ensino Médio,Não,Sim,Não,74.0,90.9,A
209,Feminino,5.1,61.4,7.8,Ensino Médio,Sim,Sim,Sim,100.0,96.1,A
210,Masculino,2.7,74.9,4.1,Bacharelado,Sim,Não,Não,57.7,73.1,C
211,Masculino,3.1,91.2,6.1,Bacharelado,Sim,Sim,Não,49.5,81.2,B
212,Masculino,2.0,100.0,7.1,Bacharelado,Sim,Sim,Não,65.3,81.8,B
213,Masculino,2.8,85.2,8.2,Ensino Médio,Sim,Sim,Sim,51.2,70.0,C
214,Masculino,4.1,77.7,6.2,Ensino Médio,Sim,Sim,Sim,52.1,78.5,C
215,Masculino,4.6,83.2,4.5,Bacharelado,Sim,Sim,Não,58.0,84.7,B
216,Masculino,2.1,98.7,7.5,Ensino Médio,Sim,Não,Não,58.9,74.7,C
217,Feminino,4.8,78.5,6.0,Mestrado,Sim,Não,Não,58.5,91.2,A
218,Masculino,5.5,77.0,5.4,Ensino Médio,Sim,Não,Não,76.2,93.4,A
219,Feminino,4.1,80.2,6.1,Bacharelado,Sim,Não,Não,63.9,86.8,B
220,Masculino,6.3,75.5,6.6,,Sim,Não,Não,67.8,100.0,A
221,Masculino,2.3,86.2,6.1,Ensino Médio,Sim,Sim,Não,80.7,84.3,B
222,Masculino,1.6,100.0,4.2,Bacharelado,Não,Não,Não,60.8,71.5,C
223,Feminino,0.8,88.2,7.9,Ensino Médio,Não,Não,Sim,66.8,70.5,C
224,Feminino,5.7,82.5,8.3,Bacharelado,Sim,Não,Sim,74.4,89.9,B
225,Feminino,4.5,82.1,7.6,Bacharelado,Sim,Sim,Não,46.7,81.1,B
226,Feminino,3.4,69.4,5.4,Bacharelado,Sim,Sim,Não,41.4,67.4,D
227,Masculino,3.9,93.8,6.6,Bacharelado,Sim,Não,Sim,74.2,82.2,B
228,Feminino,1.8,84.2,6.8,Doutorado,Sim,Não,Sim,75.9,90.0,A
229,Masculino,7.2,83.2,7.5,Ensino Médio,Sim,Não,Não,94.8,100.0,A
230,Masculino,3.7,100.0,7.6,Ensino Médio,Sim,Sim,Sim,71.9,82.7,B
231,Feminino,3.7,88.0,5.9,Doutorado,Sim,Sim,Não,79.8,98.3,A
232,Feminino,4.6,77.5,6.9,Bacharelado,Sim,Sim,Não,67.7,91.5,A
233,Feminino,4.2,80.7,7.3,Doutorado,Sim,Não,Não,73.6,82.2,B
234,Feminino,3.8,96.5,8.5,Bacharelado,Sim,Sim,Não,90.0,100.0,A
235,Feminino,2.3,86.1,7.6,Mestrado,Sim,Sim,Não,44.5,80.2,B
236,Feminino,4.2,70.6,7.7,Bacharelado,Sim,Não,Não,75.0,85.7,B
237,Feminino,6.3,94.2,6.9,Mestrado,Sim,Sim,Não,95.6,100.0,A
238,Feminino,5.5,78.3,8.5,,Sim,Não,Não,73.4,84.4,B
239,Masculino,5.9,100.0,7.3,Bacharelado,Sim,Sim,Não,89.8,100.0,A
240,Feminino,2.7,95.8,5.8,Ensino Médio,Sim,Não,Sim,62.4,84.6,B
241,Feminino,2.0,80.5,8.5,Ensino Médio,Sim,Não,Sim,69.6,80.6,B
242,Masculino,3.3,97.8,7.6,Ensino Médio,Sim,Não,Sim,70.4,85.1,B
243,Feminino,3.6,85.7,6.3,Ensino Médio,Sim,Não,Sim,43.4,69.4,D
244,Masculino,5.1,93.5,6.2,Ensino Médio,Sim,Sim,Não,56.0,92.2,A
245,Masculino,1.0,89.8,7.2,Bacharelado,Sim,Sim,Não,56.8,76.2,C
246,Feminino,5.8,76.5,7.4,Bacharelado,Sim,Sim,Não,79.9,100.0,A
247,Masculino,3.3,78.6,7.0,Bacharelado,Sim,Não,Não,80.5,92.2,A
248,Masculino,2.9,95.3,7.2,Bacharelado,Não,Não,Não,73.9,76.5,C
249,Masculino,2.0,81.7,8.8,Ensino Médio,Sim,Sim,Não,79.9,82.7,B
250,Masculino,1.0,81.0,8.1,Ensino Médio,Sim,Não,Não,68.0,67.1,D
251,Feminino,4.7,75.4,7.0,Ensino Médio,Sim,Sim,Sim,84.4,88.4,B
252,Masculino,3.6,89.2,7.9,Bacharelado,Sim,Não,Sim,70.1,91.0,A
253,Feminino,1.6,100.0,5.6,Ensino Médio,Não,Não,Não,70.7,75.8,C
254,Masculino,1.6,74.3,7.3,Ensino Médio,Sim,Sim,Não,66.8,88.3,B
255,Masculino,3.0,85.2,9.0,Bacharelado,Sim,Sim,Sim,78.2,87.6,B
256,Masculino,6.0,99.1,6.5,Mestrado,Sim,Sim,Sim,64.9,96.8,A
257,Masculino,3.1,84.2,5.8,Ensino Médio,Sim,Não,Não,81.7,86.7,B
258,Feminino,1.2,89.5,6.0,Bacharelado,Sim,Sim,Sim,56.4,63.7,D
259,Feminino,3.1,74.4,5.5,Mestrado,Sim,Sim,Não,56.8,73.0,C
260,Masculino,3.1,89.3,5.9,Mestrado,Sim,Sim,Não,78.2,94.3,A
261,Masculino,0.5,83.1,6.4,,Sim,Sim,Não,68.9,71.3,C
262,Feminino,3.4,94.9,5.1,Ensino Médio,Sim,Sim,Não,64.6,79.7,C
263,Masculino,3.2,96.9,6.8,Ensino Médio,Não,Não,Não,80.7,81.2,B
264,Masculino,4.5,100.0,7.9,Doutorado,Sim,Sim,Não,62.7,91.1,A
265,Masculino,6.3,90.8,5.7,Bacharelado,Sim,Não,Não,67.6,97.5,A
266,Feminino,5.2,88.3,8.6,Bacharelado,Sim,Não,Não,86.8,100.0,A
267,Feminino,3.1,86.9,7.4,Mestrado,Sim,Sim,Sim,88.5,81.6,B
268,Feminino,1.8,81.5,8.0,Mestrado,Sim,Sim,Não,88.9,83.9,B
269,Masculino,7.4,88.4,6.0,,Sim,Não,Não,66.6,100.0,A
270,Masculino,3.6,82.0,7.8,,Sim,Não,Não,84.8,80.2,B
271,Feminino,3.5,86.7,5.5,Mestrado,Sim,Sim,Não,58.6,75.1,C
272,Feminino,3.5,98.2,7.9,Ensino Médio,Não,Sim,Não,59.1,78.2,C
273,Feminino,3.8,74.9,7.0,Doutorado,Sim,Sim,Sim,41.8,64.7,D
274,Feminino,3.3,96.4,7.5,Ensino Médio,Sim,Não,Não,90.1,97.8,A
275,Masculino,2.6,98.2,5.4,Ensino Médio,Não,Sim,Não,59.6,74.4,C
276,Feminino,2.7,83.8,5.7,Doutorado,Sim,Sim,Não,68.5,76.4,C
277,Masculino,3.5,63.8,7.5,Ensino Médio,Sim,Não,Não,59.1,76.3,C
278,Feminino,2.7,78.9,5.7,Ensino Médio,Sim,Não,Sim,78.3,88.3,B
279,Masculino,2.4,98.0,7.4,Ensino Médio,Sim,Sim,Não,65.5,94.0,A
280,Feminino,3.7,84.8,5.2,Doutorado,Não,Sim,Sim,54.3,58.8,F
281,Feminino,3.1,75.0,7.8,Bacharelado,Não,Não,Não,75.3,81.1,B
282,Feminino,5.8,80.0,5.3,Mestrado,Sim,Sim,Não,52.8,84.5,B
283,Feminino,0.5,93.4,7.5,Ensino Médio,Sim,Sim,Sim,60.0,69.9,D
284,Masculino,5.1,90.5,7.6,Mestrado,Sim,Não,Não,44.7,82.2,B
285,Feminino,5.4,82.6,6.0,Mestrado,Sim,Sim,Sim,52.9,83.3,B
286,Masculino,0.5,81.3,7.5,Ensino Médio,Sim,Não,Sim,72.1,69.5,D
287,Masculino,3.0,81.1,7.1,Bacharelado,Sim,Não,Não,46.4,68.5,D
288,Masculino,2.9,75.8,6.2,Ensino Médio,Não,Sim,Não,52.2,61.5,D
289,Masculino,1.4,100.0,5.6,,Não,Sim,Não,70.0,72.3,C
290,Feminino,2.3,81.8,4.4,Bacharelado,Sim,Não,Não,63.5,74.1,C
291,Masculino,1.8,97.2,7.2,,Sim,Não,Não,93.9,94.9,A
292,Masculino,6.1,100.0,4.9,Ensino Médio,Sim,Não,Não,92.0,100.0,A
293,Masculino,4.9,95.0,6.9,Mestrado,Sim,Não,Sim,59.6,84.5,B
294,Feminino,5.4,80.7,6.5,Mestrado,Sim,Sim,Sim,76.7,93.7,A
295,Feminino,4.6,89.0,7.6,Mestrado,Sim,Não,Não,79.0,100.0,A
296,Feminino,1.8,84.8,6.4,,Sim,Sim,Não,62.8,81.6,B
297,Feminino,2.7,76.0,6.4,Bacharelado,Sim,Sim,Não,52.1,70.9,C
298,Masculino,4.2,88.2,7.7,Ensino Médio,Sim,Sim,Não,69.9,89.6,B
